,ASIANPAINT.NS,AUROPHARMA.NS,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,MARUTI.NS,PIDILITIND.NS,TECHM.NS,TIINDIA.NS,YESBANK.NS,Pf_Value,Pf_Value_Pct,Pf_Value_Pct_100
2025-01-22,20141.347412109375,3562.029052734375,66166.07299804688,13150.6435546875,46009.66796875,35737.74169921875,90154.43725585938,4596.7001953125,71349.849609375,15047.856323242188,16365.9765625,323011.767578125,36.70000076293945,705330.7902107239,2.04707919765669,204.70791976566903
2025-01-23,20268.228515625,3720.4346923828125,66578.42834472656,13141.56640625,45592.3681640625,35776.446533203125,90591.49780273438,4542.40283203125,71500.623046875,15893.998291015625,16652.196044921875,335971.38671875,36.939998626708984,720266.5173912048,2.0904271087891444,209.04271087891445
2025-01-24,20144.01708984375,3622.9998779296875,66536.83410644531,13022.3779296875,46503.5546875,35998.23486328125,91077.13012695312,4521.66650390625,71038.5234375,15593.015625,16745.98388671875,322831.9580078125,36.47999954223633,707672.7761421204,2.0538763356065792,205.38763356065792
2025-01-25,20144.01708984375,3622.9998779296875,66536.83410644531,13022.3779296875,46503.5546875,35998.23486328125,91077.13012695312,4521.66650390625,71038.5234375,15593.015625,16745.98388671875,322831.9580078125,36.47999954223633,707672.7761421204,2.0538763356065792,205.38763356065792
2025-01-26,20144.01708984375,3622.9998779296875,66536.83410644531,13022.3779296875,46503.5546875,35998.23486328125,91077.13012695312,4521.66650390625,71038.5234375,15593.015625,16745.98388671875,322831.9580078125,36.47999954223633,707672.7761421204,2.0538763356065792,205.38763356065792
2025-01-27,20046.96826171875,3515.7030029296875,65256.383056640625,12864.5107421875,46989.580078125,36556.42822265625,88481.45141601562,4510.16015625,71192.5546875,15661.023071289062,16073.92822265625,320125.1953125,36.97999954223633,701310.866230011,2.035412185708126,203.54121857081262
2025-01-28,19960.600341796875,3403.0257568359375,68039.560546875,13184.9794921875,46911.0302734375,37120.576171875,88857.8125,4525.3824462890625,71963.607421875,15645.182373046875,16019.98779296875,313458.10546875,36.7400016784668,699126.590587616,2.029072769803485,202.9072769803485
2025-01-29,19794.544189453125,3455.4788818359375,69408.56689453125,13239.4423828125,46814.8046875,37261.98486328125,91358.79516601562,4603.5325927734375,71097.884765625,15792.397338867188,16338.765869140625,319565.869140625,37.619998931884766,708769.6867713928,2.0570598956638415,205.70598956638415
2025-01-30,20032.275146484375,3536.176025390625,70678.72375488281,13351.5283203125,47301.81640625,37379.5751953125,90324.40185546875,4558.3443603515625,71229.05859375,15767.815185546875,16231.3720703125,328465.3076171875,37.900001525878906,718894.2945327759,2.086444510968341,208.6444510968341
2025-01-31,20485.927001953125,3502.5523681640625,70530.69396972656,13408.75390625,48481.0498046875,37296.221923828125,91288.38500976562,4557.864990234375,73073.00390625,15686.696899414062,16273.648681640625,331816.3330078125,38.459999084472656,726439.591468811,2.108343201075554,210.8343201075554
2025-02-01,20934.23291015625,3414.9810791015625,71559.34387207031,13347.1865234375,49212.5439453125,37378.08837890625,89906.76879882812,4562.1800537109375,76669.177734375,16099.390258789062,16001.03759765625,317123.7548828125,38.060001373291016,716246.7460365295,2.07876053980662,207.876053980662
2025-02-02,20934.23291015625,3414.9810791015625,71559.34387207031,13347.1865234375,49212.5439453125,37378.08837890625,89906.76879882812,4562.1800537109375,76669.177734375,16099.390258789062,16001.03759765625,317123.7548828125,38.060001373291016,716246.7460365295,2.07876053980662,207.876053980662
2025-02-03,20409.79833984375,3363.57421875,75367.15026855469,13244.9677734375,47953.779296875,37302.1728515625,90487.09716796875,4517.59130859375,77995.5234375,16173.134033203125,16081.702880859375,304119.189453125,37.58000183105469,707053.2610321045,2.0520783189710534,205.20783189710534
2025-02-04,20962.72705078125,3500.759033203125,75810.35522460938,13583.591796875,47877.1923828125,37754.681396484375,92211.07788085938,4623.0699462890625,77817.451171875,15988.501342773438,16123.980712890625,308893.5302734375,38.2400016784668,715185.1582145691,2.0756794970150927,207.56794970150926
2025-02-05,20257.987060546875,3561.879638671875,76115.37963867188,13716.98828125,46954.2333984375,37739.794921875,92126.08642578125,4582.9163818359375,77680.037109375,15782.290283203125,16142.93212890625,297896.5576171875,38.84000015258789,702595.9228858948,2.0391418013502904,203.91418013502906
2025-02-06,20152.922607421875,3562.029052734375,76096.142578125,13764.7421875,46593.8818359375,37879.716796875,93029.35791015625,4592.984619140625,77604.05859375,15838.827758789062,16226.513671875,296263.5009765625,38.560001373291016,701643.2385902405,2.0363768288995834,203.63768288995834
2025-02-07,20220.591796875,3561.7298583984375,75800.5224609375,13677.126953125,46420.0927734375,37418.280029296875,92446.60034179688,4624.86767578125,77458.634765625,15680.689331054688,16445.185546875,290836.279296875,38.2400016784668,694628.8408317566,2.0160189657029517,201.60189657029517
2025-02-08,20220.591796875,3561.7298583984375,75800.5224609375,13677.126953125,46420.0927734375,37418.280029296875,92446.60034179688,4624.86767578125,77458.634765625,15680.689331054688,16445.185546875,290836.279296875,38.2400016784668,694628.8408317566,2.0160189657029517,201.60189657029517
2025-02-09,20220.591796875,3561.7298583984375,75800.5224609375,13677.126953125,46420.0927734375,37418.280029296875,92446.60034179688,4624.86767578125,77458.634765625,15680.689331054688,16445.185546875,290836.279296875,38.2400016784668,694628.8408317566,2.0160189657029517,201.60189657029517
2025-02-10,20213.0244140625,3518.243408203125,74123.81652832031,13542.939453125,46372.9638671875,37587.967529296875,91312.66479492188,4698.9422607421875,76575.69140625,15666.759399414062,16512.733154296875,286673.388671875,37.18000030517578,686836.3148880005,1.993402743672013,199.3402743672013
2025-02-11,19952.14306640625,3430.2235107421875,73268.69567871094,13429.6708984375,45465.712890625,37294.7314453125,91086.84692382812,4599.3372802734375,75528.62109375,15573.895874023438,16221.65283203125,273819.9951171875,36.220001220703125,669707.7466125488,1.9436905571505032,194.3690557150503
2025-02-12,19839.952880859375,3420.809326171875,73473.08532714844,13472.294921875,45804.453125,37266.448974609375,90479.81567382812,4660.1070556640625,75120.24609375,15450.716552734375,16329.532470703125,268122.900390625,36.2599983215332,663476.6227912903,1.9256059872868927,192.56059872868926
2025-02-13,19912.517578125,3526.6116943359375,75216.87377929688,13400.4658203125,45588.447265625,37180.11474609375,89513.41552734375,4729.2674560546875,75213.732421875,15393.906494140625,16281.910400390625,271191.3330078125,36.34000015258789,667184.9361915588,1.936368612888156,193.63686128881562
2025-02-14,19867.111083984375,3381.3570556640625,75067.49267578125,13377.9697265625,45526.5869140625,37513.54248046875,90152.01416015625,4680.364013671875,75266.859375,15328.90283203125,16124.46533203125,257918.115234375,35.52000045776367,654240.3008842468,1.8987994410518692,189.87994410518692
2025-02-15,19867.111083984375,3381.3570556640625,75067.49267578125,13377.9697265625,45526.5869140625,37513.54248046875,90152.01416015625,4680.364013671875,75266.859375,15328.90283203125,16124.46533203125,257918.115234375,35.52000045776367,654240.3008842468,1.8987994410518692,189.87994410518692
2025-02-16,19867.111083984375,3381.3570556640625,75067.49267578125,13377.9697265625,45526.5869140625,37513.54248046875,90152.01416015625,4680.364013671875,75266.859375,15328.90283203125,16124.46533203125,257918.115234375,35.52000045776367,654240.3008842468,1.8987994410518692,189.87994410518692
